writer.1,writer.2,song.name,times.played
Jerry Garcia,Robert Hunter,Alabama Getaway,141
Bill Kreutzmann,Jerry Garcia,Alice D Millionaire,3
Phil Lesh,Jerry Garcia,Alice D Millionaire,3
Pigpen,Jerry Garcia,Alice D Millionaire,3
Bob Weir,Jerry Garcia,Alice D Millionaire,3
Jerry Garcia,Bill Kreutzmann,Alice D Millionaire,3
Phil Lesh,Bill Kreutzmann,Alice D Millionaire,3
Pigpen,Bill Kreutzmann,Alice D Millionaire,3
Bob Weir,Bill Kreutzmann,Alice D Millionaire,3
Jerry Garcia,Phil Lesh,Alice D Millionaire,3
Bill Kreutzmann,Phil Lesh,Alice D Millionaire,3
Pigpen,Phil Lesh,Alice D Millionaire,3
Bob Weir,Phil Lesh,Alice D Millionaire,3
Jerry Garcia,Pigpen,Alice D Millionaire,3
Bill Kreutzmann,Pigpen,Alice D Millionaire,3
Phil Lesh,Pigpen,Alice D Millionaire,3
Bob Weir,Pigpen,Alice D Millionaire,3
Jerry Garcia,Bob Weir,Alice D Millionaire,3
Bill Kreutzmann,Bob Weir,Alice D Millionaire,3
Phil Lesh,Bob Weir,Alice D Millionaire,3
Pigpen,Bob Weir,Alice D Millionaire,3
Phil Lesh,Robert Hunter,Alligator,63
Pigpen,Phil Lesh,Alligator,63
Robert Hunter,Pigpen,Alligator,63
Jerry Garcia,Robert Hunter,Althea,272
Jerry Garcia,Robert Hunter,Attics Of My Life,48
Jerry Garcia,Robert Hunter,Believe It Or Not,7
Jerry Garcia,Robert Hunter,Bertha,394
Jerry Garcia,Robert Hunter,Bird Song,296
Jerry Garcia,Robert Hunter,Black Muddy River,66
Jerry Garcia,Robert Hunter,Black Peter,343
Bob Weir,John Barlow,Black Throated Wind,158
Brent Mydland,John Barlow,Blow Away,23
Jerry Garcia,Robert Hunter,Blues For Allah,3
Bob Weir,Bob Weir,Born Cross Eyed,13
Phil Lesh,Robert Hunter,Box Of Rain,161
Jerry Garcia,Robert Hunter,Brokedown Palace,215
Jerry Garcia,Robert Hunter,Brown Eyed Women,347
Jerry Garcia,Robert Hunter,Built To Last,18
Jerry Garcia,Robert Hunter,Candyman,277
Bill Kreutzmann,Jerry Garcia,Can't Come Down,2
Phil Lesh,Jerry Garcia,Can't Come Down,2
Pigpen,Jerry Garcia,Can't Come Down,2
Bob Weir,Jerry Garcia,Can't Come Down,2
Jerry Garcia,Bill Kreutzmann,Can't Come Down,2
Phil Lesh,Bill Kreutzmann,Can't Come Down,2
Pigpen,Bill Kreutzmann,Can't Come Down,2
Bob Weir,Bill Kreutzmann,Can't Come Down,2
Jerry Garcia,Phil Lesh,Can't Come Down,2
Bill Kreutzmann,Phil Lesh,Can't Come Down,2
Pigpen,Phil Lesh,Can't Come Down,2
Bob Weir,Phil Lesh,Can't Come Down,2
Jerry Garcia,Pigpen,Can't Come Down,2
Bill Kreutzmann,Pigpen,Can't Come Down,2
Phil Lesh,Pigpen,Can't Come Down,2
Bob Weir,Pigpen,Can't Come Down,2
Jerry Garcia,Bob Weir,Can't Come Down,2
Bill Kreutzmann,Bob Weir,Can't Come Down,2
Phil Lesh,Bob Weir,Can't Come Down,2
Pigpen,Bob Weir,Can't Come Down,2
Jerry Garcia,Robert Hunter,Casey Jones,312
Bob Weir,John Barlow,Cassidy,334
Bill Kreutzmann,Jerry Garcia,Caution (Do Not Stop On Tracks),56
Phil Lesh,Jerry Garcia,Caution (Do Not Stop On Tracks),56
Pigpen,Jerry Garcia,Caution (Do Not Stop On Tracks),56
Bob Weir,Jerry Garcia,Caution (Do Not Stop On Tracks),56
Jerry Garcia,Bill Kreutzmann,Caution (Do Not Stop On Tracks),56
Phil Lesh,Bill Kreutzmann,Caution (Do Not Stop On Tracks),56
Pigpen,Bill Kreutzmann,Caution (Do Not Stop On Tracks),56
Bob Weir,Bill Kreutzmann,Caution (Do Not Stop On Tracks),56
Jerry Garcia,Phil Lesh,Caution (Do Not Stop On Tracks),56
Bill Kreutzmann,Phil Lesh,Caution (Do Not Stop On Tracks),56
Pigpen,Phil Lesh,Caution (Do Not Stop On Tracks),56
Bob Weir,Phil Lesh,Caution (Do Not Stop On Tracks),56
Jerry Garcia,Pigpen,Caution (Do Not Stop On Tracks),56
Bill Kreutzmann,Pigpen,Caution (Do Not Stop On Tracks),56
Phil Lesh,Pigpen,Caution (Do Not Stop On Tracks),56
Bob Weir,Pigpen,Caution (Do Not Stop On Tracks),56
Jerry Garcia,Bob Weir,Caution (Do Not Stop On Tracks),56
Bill Kreutzmann,Bob Weir,Caution (Do Not Stop On Tracks),56
Phil Lesh,Bob Weir,Caution (Do Not Stop On Tracks),56
Pigpen,Bob Weir,Caution (Do Not Stop On Tracks),56
Phil Lesh,Phil Lesh,Childhood's End,11
Jerry Garcia,Robert Hunter,China Cat Sunflower,554
Jerry Garcia,Robert Hunter,China Doll,114
Pigpen,Pigpen,Chinatown Shuffle,28
Phil Lesh,Robert Hunter,Clementine,3
Jerry Garcia,Robert Hunter,Comes A Time,66
Robert Hunter,Mickey Hart,Corrina,77
Bob Weir,Robert Hunter,Corrina,77
Mickey Hart,Bob Weir,Corrina,77
Jerry Garcia,Robert Hunter,Cosmic Charlie,41
Jerry Garcia,Robert Hunter,Crazy Fingers,144
Jerry Garcia,Jerry Garcia,Cream Puff War,7
Jerry Garcia,Jerry Garcia,Cryptical Envelopment,132
Phil Lesh,Jerry Garcia,Cumberland Blues,223
