"","name","totdegree","indegree","outdegree","rescaled","eigenvector","betweenness","closeness","bonacich"
"1","Eric Andersen",2,1,1,0.00769230769230769,0.0488364373742657,0,0.444444444444444,0.0256172888556196
"2","John Barlow",6,3,3,0.0230769230769231,0.0776351190117273,0.75,0.470588235294118,-1.4217595314869
"3","Bob Bralove",10,5,5,0.0384615384615385,0.127706003439418,1.83333333333333,0.489795918367347,-1.38333359820348
"4","Andrew Charles",2,1,1,0.00769230769230769,0.0431746284084272,0,0.421052631578947,-0.473919843828967
"5","John Dawson",4,2,2,0.0153846153846154,0.0797769362766867,0,0.421052631578947,-1.1655866429307
"6","Willie Dixon",4,2,2,0.0153846153846154,0.0642380122505995,0,0.452830188679245,0.268981532984009
"7","Jerry Garcia",20,10,10,0.0769230769230769,0.330587144741525,13.2333333333333,0.631578947368421,-1.21682122064195
"8","Donna Godchaux",12,6,6,0.0461538461538462,0.238342214172543,0,0.545454545454545,0.294598821839626
"9","Keith Godchaux",14,7,7,0.0538461538461538,0.273500640551288,0.166666666666667,0.558139534883721,-0.0704475443529557
"10","Gerrit Graham",2,1,1,0.00769230769230769,0.0488364373742657,0,0.444444444444444,0.0256172888556196
"11","Frank Guida",4,2,2,0.0153846153846154,0.0338872655451517,0,0.387096774193548,-0.070447544352955
"12","Mickey Hart",14,7,7,0.0538461538461538,0.273500640551288,0.166666666666667,0.558139534883721,-0.070447544352956
"13","Robert Hunter",22,11,11,0.0846153846153846,0.323358071863187,30.45,0.648648648648649,-1.51142004248157
"14","Bill Kreutzmann",18,9,9,0.0692307692307692,0.321913071678831,3.06666666666667,0.615384615384615,-1.0246915542248
"15","Ned Lagin",2,1,1,0.00769230769230769,0.0431746284084272,0,0.421052631578947,-0.473919843828966
"16","Phil Lesh",28,14,14,0.107692307692308,0.353909827159362,89.4,0.705882352941177,-1.25524715392537
"17","Peter Monk",2,1,1,0.00769230769230769,0.0431746284084272,0,0.421052631578947,-0.473919843828968
"18","Brent Mydland",8,4,4,0.0307692307692308,0.108361724598414,6.16666666666667,0.51063829787234,-1.62669784233186
"19","Dave Parker",10,5,5,0.0384615384615385,0.201364967839632,0,0.558139534883721,-1.90848801974369
"20","Robert Petersen",4,2,2,0.0153846153846154,0.0563940330010903,0,0.436363636363636,-1.31929037606443
"21","Pigpen",16,8,8,0.0615384615384615,0.24389245677897,44.2,0.6,-1.56265462019282
"22","Joe Royster",4,2,2,0.0153846153846154,0.0338872655451517,0,0.387096774193548,-0.0704475443529549
"23","Rob Wasserman",10,5,5,0.0384615384615385,0.126249348317819,1.83333333333333,0.489795918367347,-0.537963065968019
"24","Bob Weir",34,17,17,0.130769230769231,0.400320645395713,111.733333333333,0.774193548387097,-0.755710021240788
"25","Vince Welnick",8,4,4,0.0307692307692308,0.119264808200263,0,0.48,-1.06311748750823
