name,igraph_degree,statnet_degree,ig_eigen,stat_eigen,ig_between,stat_between,ig_close,stat_close,ig_bonpow,stat_bonpow
Eric Andersen,1,2,0.048836437,0.048836437,0,0,0.018518519,0.444444444,-0.274773713,0.025617289
John Barlow,29,6,0.077635119,0.077635119,0.670846395,0.75,0.019607843,0.470588235,-0.310479477,-1.421759531
Bob Bralove,8,10,0.127706003,0.127706003,0.12160129,1.833333333,0.020408163,0.489795918,-0.216360716,-1.383333598
Andrew Charles,1,2,0.043174628,0.043174628,0,0,0.01754386,0.421052632,0.08060636,-0.473919844
John Dawson,2,4,0.079776936,0.079776936,0,0,0.01754386,0.421052632,0.09519541,-1.165586643
Willie Dixon,2,4,0.064238012,0.064238012,0,0,0.018867925,0.452830189,-0.423653479,0.268981533
Jerry Garcia,142,20,0.330587145,0.330587145,16.58436413,13.23333333,0.026315789,0.631578947,-0.250187005,-1.216821221
Donna Godchaux,6,12,0.238342214,0.238342214,0,0,0.022727273,0.545454545,1.206495081,0.294598822
Keith Godchaux,10,14,0.273500641,0.273500641,0.009345794,0.166666667,0.023255814,0.558139535,1.15700911,-0.070447544
Gerrit Graham,1,2,0.048836437,0.048836437,0,0,0.018518519,0.444444444,-0.274773713,0.025617289
Frank Guida,2,4,0.033887266,0.033887266,0,0,0.016129032,0.387096774,3.01093775,-0.070447544
Mickey Hart,18,14,0.273500641,0.273500641,0.037383178,0.166666667,0.023255814,0.558139535,0.150324923,-0.070447544
Robert Hunter,117,22,0.323358072,0.323358072,24.10681616,30.45,0.027027027,0.648648649,-0.170144687,-1.511420042
Bill Kreutzmann,62,18,0.321913072,0.321913072,3.132041965,3.066666667,0.025641026,0.615384615,-0.6875388,-1.024691554
Ned Lagin,1,2,0.043174628,0.043174628,0,0,0.01754386,0.421052632,0.08060636,-0.473919844
Phil Lesh,81,28,0.353909827,0.353909827,90.39664017,89.4,0.029411765,0.705882353,-0.177157191,-1.255247154
Peter Monk,1,2,0.043174628,0.043174628,0,0,0.01754386,0.421052632,0.08060636,-0.473919844
Brent Mydland,11,8,0.108361725,0.108361725,1.306940678,6.166666667,0.021276596,0.510638298,0.516288686,-1.626697842
Dave Parker,5,10,0.201364968,0.201364968,0,0,0.023255814,0.558139535,-0.874129606,-1.90848802
Robert Petersen,5,4,0.056394033,0.056394033,0,0,0.018181818,0.436363636,1.096477679,-1.319290376
Pigpen,51,16,0.243892457,0.243892457,44.02857143,44.2,0.025,0.6,-0.515527103,-1.56265462
Joe Royster,2,4,0.033887266,0.033887266,0,0,0.016129032,0.387096774,3.01093775,-0.070447544
Rob Wasserman,6,10,0.126249348,0.126249348,0.945970696,1.833333333,0.020408163,0.489795918,-0.406643317,-0.537963066
Bob Weir,105,34,0.400320645,0.400320645,121.6594781,111.7333333,0.032258065,0.774193548,-0.532537264,-0.755710021
Vince Welnick,7,8,0.119264808,0.119264808,0,0,0.02,0.48,-0.077991215,-1.063117488
