name,degree,rescaled_degree,eigenvector,eigen_derived,eigen_reflective,closeness,betweenness,bonacich
Eric Andersen,2,0.007692308,0.048836437,0.941176471,0.058823529,0.444444444,0,0.025617289
John Barlow,6,0.023076923,0.077635119,0.884615385,0.115384615,0.470588235,0.75,-1.421759531
Bob Bralove,10,0.038461538,0.127706003,0.875,0.125,0.489795918,1.833333333,-1.383333598
Andrew Charles,2,0.007692308,0.043174628,0.928571429,0.071428571,0.421052632,0,-0.473919844
John Dawson,4,0.015384615,0.079776936,0.904761905,0.095238095,0.421052632,0,-1.165586643
Willie Dixon,4,0.015384615,0.064238012,0.909090909,0.090909091,0.452830189,0,0.268981533
Jerry Garcia,20,0.076923077,0.330587145,0.88372093,0.11627907,0.631578947,13.23333333,-1.216821221
Donna Godchaux,12,0.046153846,0.238342214,0.90625,0.09375,0.545454545,0,0.294598822
Keith Godchaux,14,0.053846154,0.273500641,0.905405405,0.094594595,0.558139535,0.166666667,-0.070447544
Gerrit Graham,2,0.007692308,0.048836437,0.941176471,0.058823529,0.444444444,0,0.025617289
Frank Guida,4,0.015384615,0.033887266,0.8,0.2,0.387096774,0,-0.070447544
Mickey Hart,14,0.053846154,0.273500641,0.905405405,0.094594595,0.558139535,0.166666667,-0.070447544
Robert Hunter,22,0.084615385,0.323358072,0.875,0.125,0.648648649,30.45,-1.511420042
Bill Kreutzmann,18,0.069230769,0.321913072,0.894117647,0.105882353,0.615384615,3.066666667,-1.024691554
Ned Lagin,2,0.007692308,0.043174628,0.928571429,0.071428571,0.421052632,0,-0.473919844
Phil Lesh,28,0.107692308,0.353909827,0.842696629,0.157303371,0.705882353,89.4,-1.255247154
Peter Monk,2,0.007692308,0.043174628,0.928571429,0.071428571,0.421052632,0,-0.473919844
Brent Mydland,8,0.030769231,0.108361725,0.888888889,0.111111111,0.510638298,6.166666667,-1.626697842
Dave Parker,10,0.038461538,0.201364968,0.913793103,0.086206897,0.558139535,0,-1.90848802
Robert Petersen,4,0.015384615,0.056394033,0.888888889,0.111111111,0.436363636,0,-1.319290376
Pigpen,16,0.061538462,0.243892457,0.885714286,0.114285714,0.6,44.2,-1.56265462
Joe Royster,4,0.015384615,0.033887266,0.8,0.2,0.387096774,0,-0.070447544
Rob Wasserman,10,0.038461538,0.126249348,0.871794872,0.128205128,0.489795918,1.833333333,-0.537963066
Bob Weir,34,0.130769231,0.400320645,0.833333333,0.166666667,0.774193548,111.7333333,-0.755710021
Vince Welnick,8,0.030769231,0.119264808,0.894736842,0.105263158,0.48,0,-1.063117488
