"","Eric Andersen","John Barlow","Bob Bralove","Andrew Charles","John Dawson","Willie Dixon","Jerry Garcia","Donna Godchaux","Keith Godchaux","Gerrit Graham","Frank Guida","Mickey Hart","Robert Hunter","Bill Kreutzmann","Ned Lagin","Phil Lesh","Peter Monk","Brent Mydland","Dave Parker","Robert Petersen","Pigpen","Joe Royster","Rob Wasserman","Bob Weir","Vince Welnick"
"Eric Andersen",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"John Barlow",0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,21,0
"Bob Bralove",0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,2
"Andrew Charles",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"John Dawson",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Willie Dixon",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Jerry Garcia",0,0,0,0,1,0,93,1,2,0,0,1,78,14,0,18,0,0,1,0,11,0,0,15,0
"Donna Godchaux",0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
"Keith Godchaux",0,0,0,0,0,0,2,1,3,0,0,1,1,1,0,2,0,0,0,0,0,0,0,2,0
"Gerrit Graham",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Frank Guida",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Mickey Hart",0,0,0,0,0,0,1,1,1,0,0,9,4,5,0,2,0,0,0,0,0,0,0,4,0
"Robert Hunter",0,0,2,0,1,0,78,0,1,0,0,4,98,3,0,9,0,0,0,0,3,0,1,12,3
"Bill Kreutzmann",0,0,0,0,0,0,14,1,1,0,0,5,3,19,0,13,0,0,1,0,11,0,0,13,0
"Ned Lagin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Phil Lesh",0,0,0,1,0,0,18,1,2,0,0,2,9,13,1,34,1,1,1,4,12,0,0,15,0
"Peter Monk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Brent Mydland",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,0,2,0
"Dave Parker",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
"Robert Petersen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,0,0,0,0,0
"Pigpen",0,0,0,0,0,0,11,0,0,0,1,0,3,11,0,12,0,0,1,0,22,1,0,11,0
"Joe Royster",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Rob Wasserman",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1
"Bob Weir",1,21,2,0,0,1,15,1,2,1,0,4,12,13,0,15,0,2,1,0,11,0,2,54,1
"Vince Welnick",0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,3
